release_date,title,production_budget,domestic_gross,worldwide_gross,studio,foreign_gross,release_season,profit
2009-10-06 00:00:00,A Charlie Brown Christmas,150000.0,1400000.0,0.0,unknown,18700000.0,Fall,-150000.0
1983-11-18 00:00:00,A Christmas Story,3250000.0,1400000.0,20605209.0,unknown,18700000.0,Fall,17355209.0
unknown,A Ciambra,17000000.0,41900.0,18741900.0,IFC,18700000.0,Winter,1741900.0
2004-07-16 00:00:00,A Cinderella Story,19000000.0,1400000.0,70164105.0,unknown,18700000.0,Summer,51164105.0
1998-12-25 00:00:00,A Civil Action,60000000.0,1400000.0,56709981.0,unknown,18700000.0,Winter,-3290019.0
unknown,A Coffee in Berlin,17000000.0,150000.0,2750000.0,MBox,2600000.0,Winter,-14250000.0
unknown,A Cure for Wellness,17000000.0,8100000.0,26600000.0,Fox,18500000.0,Winter,9600000.0
unknown,A Dangerous Method,17000000.0,5700000.0,27500000.0,SPC,21800000.0,Winter,10500000.0
2011-11-23 00:00:00,A Dangerous Method,20000000.0,1400000.0,14807531.0,unknown,18700000.0,Fall,-5192469.0
1999-08-27 00:00:00,A Dog of Flanders,7000000.0,1400000.0,2165637.0,unknown,18700000.0,Summer,-4834363.0
2007-12-31 00:00:00,A Dog's Breakfast,120000.0,1400000.0,0.0,unknown,18700000.0,Winter,-120000.0
unknown,A Dog's Purpose,17000000.0,64500000.0,205000000.0,Uni.,140500000.0,Winter,188000000.0
2017-01-27 00:00:00,A Dogâs Purpose,25000000.0,1400000.0,203671625.0,unknown,18700000.0,Winter,178671625.0
2019-01-11 00:00:00,A Dogâs Way Home,61000000.0,1400000.0,81149689.0,unknown,18700000.0,Winter,20149689.0
unknown,A Fantastic Woman,17000000.0,2000000.0,20700000.0,SPC,18700000.0,Winter,3700000.0
1957-12-14 00:00:00,A Farewell To Arms,5000000.0,1400000.0,11017403.0,unknown,18700000.0,Winter,6017403.0
2015-05-05 00:00:00,A Few Best Men,15000000.0,1400000.0,17224539.0,unknown,18700000.0,Spring,2224539.0
1992-12-11 00:00:00,A Few Good Men,33000000.0,1400000.0,236500000.0,unknown,18700000.0,Winter,203500000.0
2014-06-24 00:00:00,A Fine Step,1000000.0,1400000.0,0.0,unknown,18700000.0,Summer,-1000000.0
unknown,A Five Star Life,17000000.0,307000.0,2507000.0,MBox,2200000.0,Winter,-14493000.0
1966-10-16 00:00:00,A Funny Thing Happened on the Way to the Forum,2000000.0,1400000.0,0.0,unknown,18700000.0,Fall,-2000000.0
unknown,A Gentleman,17000000.0,410000.0,2910000.0,FIP,2500000.0,Winter,-14090000.0
unknown,A Ghost Story,17000000.0,1600000.0,20300000.0,A24,18700000.0,Winter,3300000.0
2017-07-07 00:00:00,A Ghost Story,100000.0,1400000.0,2769782.0,unknown,18700000.0,Summer,2669782.0
unknown,A Girl Walks Home Alone at Night,17000000.0,492000.0,19192000.0,KL,18700000.0,Winter,2192000.0
unknown,A Glimpse Inside the Mind of Charles Swan III,17000000.0,45400.0,18745400.0,A24,18700000.0,Winter,1745400.0
unknown,A Good Day to Die Hard,17000000.0,67300000.0,304600000.0,Fox,237300000.0,Winter,287600000.0
2013-02-14 00:00:00,A Good Day to Die Hard,92000000.0,1400000.0,304249198.0,unknown,18700000.0,Winter,212249198.0
unknown,A Good Old Fashioned Orgy,17000000.0,200000.0,18900000.0,Gold.,18700000.0,Winter,1900000.0
2006-11-10 00:00:00,A Good Year,35000000.0,1400000.0,42064105.0,unknown,18700000.0,Fall,7064105.0
1943-12-24 00:00:00,A Guy Named Joe,2627000.0,1400000.0,5363000.0,unknown,18700000.0,Winter,2736000.0
2003-01-17 00:00:00,A Guy Thing,20000000.0,1400000.0,17430594.0,unknown,18700000.0,Winter,-2569406.0
1964-08-11 00:00:00,A Hard Day's Night,560000.0,1400000.0,1626784.0,unknown,18700000.0,Summer,1066784.0
unknown,A Haunted House,17000000.0,40000000.0,60100000.0,ORF,20100000.0,Winter,43100000.0
2013-01-11 00:00:00,A Haunted House,2500000.0,1400000.0,59922558.0,unknown,18700000.0,Winter,57422558.0
unknown,A Haunted House 2,17000000.0,17300000.0,23900000.0,ORF,6600000.0,Winter,6900000.0
2014-04-18 00:00:00,A Haunted House 2,4000000.0,1400000.0,21206861.0,unknown,18700000.0,Spring,17206861.0
2013-02-01 00:00:00,A Haunting in Connecticut 2: The Ghosts of Georgia,9000000.0,1400000.0,0.0,unknown,18700000.0,Winter,-9000000.0
unknown,A Hijacking,17000000.0,414000.0,19114000.0,Magn.,18700000.0,Winter,2114000.0
2005-09-23 00:00:00,A History of Violence,32000000.0,1400000.0,61477797.0,unknown,18700000.0,Fall,29477797.0
unknown,A Hologram for the King,17000000.0,4200000.0,22900000.0,RAtt.,18700000.0,Winter,5900000.0
2016-04-22 00:00:00,A Hologram for the King,35000000.0,1400000.0,11846010.0,unknown,18700000.0,Spring,-23153990.0
2004-07-23 00:00:00,A Home at the End of the World,6500000.0,1400000.0,1033810.0,unknown,18700000.0,Summer,-5466190.0
unknown,A Journey Through Time with Anthony,17000000.0,127000.0,18827000.0,CL,18700000.0,Winter,1827000.0
2001-05-11 00:00:00,A Knightâs Tale,41000000.0,1400000.0,100622586.0,unknown,18700000.0,Spring,59622586.0
unknown,A Late Quartet,17000000.0,1600000.0,20300000.0,EOne,18700000.0,Winter,3300000.0
1992-07-01 00:00:00,A League of Their Own,40000000.0,1400000.0,132440066.0,unknown,18700000.0,Summer,92440066.0
unknown,A Letter to Momo,17000000.0,71700.0,6771700.0,GK,6700000.0,Winter,-10228300.0
unknown,A Little Bit of Heaven,17000000.0,15400.0,1315400.0,MNE,1300000.0,Winter,-15684600.0
